text,label
we asked for the bill to leave without eating and they didn't bring that either.,negative
will not be back!,negative
so just beware.,negative
very easy to use.,positive
the transfers are very good.,positive
the servers are not pleasant to deal with and they don't always honor pizza hut coupons.,negative
whatever prompted such a documentary is beyond me!,negative
":) anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.",positive
don't trust their website and don't expect any helpful support.,negative
the success of the film depends on the casting of sydney greenstreet as the alexander yardley character.,positive
this is definitely a must have if your state does not allow cell phone usage while driving.,positive
i liked the patio and the service was outstanding.,positive
this is the place where i first had pho and it was amazing!!,positive
i was shocked because no signs indicate cash only.,negative
"the staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",positive
i was very disappointed!!,negative
"after my phone got to be about a year old, it's been slowly breaking despite much care on my part.",negative
the food is good.,positive
i am also very happy with the price.,positive
it worked very well.,positive
we have tried 2 units and they both failed within 2 months.. pros,negative
it was horrible!.,negative
"jabra ear gels ""r"" the best!.",positive
dessert: panna cotta was amazing.,positive
"great headset, very impressed - h500.",positive
won't ever go here again.,negative
watching washing machine twirling around wouldn't hurt your eyes as much as this show.,negative
sooooo good!!,positive
)setup couldn't have been simpler.,positive
"but ""tiny toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.",positive
his acting alongside olivia de havilland was brilliant and the ending was fantastic!,positive
"good food , good service .",positive
never going back.,negative
i wear it everyday and it holds up very well.,positive
"after watching this film, i wanted to learn more about the works of this artist.",positive
disappointed with battery.,negative
the script is a big flawed mess.,negative
a bit predictable.,negative
excellent dual-purpose headset.,positive
i am not impressed with this and i would not recommend this item to anyone.,negative
but this movie is definitely a below average rent.,negative
beautiful styling though.,positive
"i would recommend purchasing the jabra jx-10 series 2 which works flawlessly with my moto q, go figure.",positive
that's how i'd describe this painfully dreary time-waster of a film.,negative
"as many people complained, i found this headset's microphone was very weak.",negative
this is essentially a communications tool that does not communicate.,negative
"main thing i didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",negative
the desserts were a bit strange.,negative
the film has an ultra-cheap look to it.,negative
i was able to do voice dialing in the car with no problem.,positive
there's a horrible tick sound in the background on all my calls that i have never experienced before.,negative
your brain will attempt to shut-down as part of a primal impulse of self-preservation.,negative
") what makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated brian keith playing a bully teddy - and vivid history.",positive
"every time he opened his mouth you expect to hear, ""you see kids..."" pulling the plug was a mercy killing for this horrible show.",negative
.... item arrived quickly and works great with my metro pcs samsung sch-r450 slider phone and sony premium sound in ear plugs.,positive
"i saw it as a child on tv back in 1973, when it was ""the stranger"" and i loved it.",positive
trying to make a call on these is an exercise in frustration.,negative
i purchased this and within 2 days it was no longer working!!!!!!!!!,negative
the cow tongue and cheek tacos are amazing.,positive
i love being able to use one headset for both by land-line and cell.,positive
"i contacted the company and they told me that, although the unit was still under warranty, if i couldn't produce my receipt i was out of luck.",negative
i went to bachi burger on a friend's recommendation and was not disappointed.,positive
"give it a try, you will be happy you did.",positive
not much seafood and like 5 strings of pasta at the bottom.,negative
i love the look and feel of samsung flipphones.,positive
thoroughly disappointed!,negative
"a week later after i activated it, it suddenly died.",negative
